SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,estimated_annual_water_bill,water_stress_index,stress_pct_rank,stress_tier
401011001,Adelaide,Adelaide City,Adelaide - Central and Hills,18202.0,10.4824,980.0,4.0,1045.0,7.0,814.0,1.0,1134.0,10.0,2248.04,2761.7199,0.9205,Critical
401011002,North Adelaide,Adelaide City,Adelaide - Central and Hills,6823.0,5.0909,1058.0,8.0,1088.0,9.0,960.0,3.0,1145.0,10.0,2248.04,2341.7083,0.6307,High
401021003,Adelaide Hills,Adelaide Hills,Adelaide - Central and Hills,7051.0,364.439,1062.0,8.0,1029.0,7.0,1077.0,9.0,1009.0,6.0,2248.04,2087.3166,0.0511,Low
401021004,Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,18208.0,117.2141,1100.0,10.0,1098.0,9.0,1101.0,10.0,1116.0,9.0,2248.04,2041.8165,0.0114,Low
401021005,Hahndorf - Echunga,Adelaide Hills,Adelaide - Central and Hills,4726.0,110.1516,1066.0,9.0,1047.0,8.0,1069.0,9.0,1042.0,7.0,2248.04,2102.9373,0.0568,Low
401021006,Lobethal - Woodside,Adelaide Hills,Adelaide - Central and Hills,9448.0,202.4981,1054.0,8.0,1019.0,6.0,1051.0,8.0,1012.0,6.0,2248.04,2138.9534,0.1307,Low
401021007,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,22113.0,54.1038,1028.0,6.0,997.0,6.0,1022.0,7.0,999.0,6.0,2248.04,2199.6477,0.2443,Low
401021008,Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,6825.0,395.6659,1047.0,7.0,1006.0,6.0,1068.0,9.0,989.0,6.0,2248.04,2104.9064,0.0653,Low
401021009,Nairne,Adelaide Hills,Adelaide - Central and Hills,5327.0,24.8562,1034.0,7.0,991.0,5.0,1035.0,7.0,990.0,6.0,2248.04,2172.0193,0.1818,Low
401021010,Uraidla - Summertown,Adelaide Hills,Adelaide - Central and Hills,6042.0,119.1882,1087.0,10.0,1081.0,9.0,1083.0,9.0,1090.0,9.0,2248.04,2075.7525,0.0398,Low
401031011,Burnside - Wattle Park,Burnside,Adelaide - Central and Hills,19066.0,11.305,1082.0,9.0,1099.0,9.0,1055.0,8.0,1124.0,9.0,2248.04,2130.8436,0.1051,Low
401031012,Beaumont - Glen Osmond,Burnside,Adelaide - Central and Hills,10328.0,9.5264,1095.0,10.0,1118.0,10.0,1085.0,9.0,1139.0,10.0,2248.04,2071.9263,0.0341,Low
401031013,Toorak Gardens,Burnside,Adelaide - Central and Hills,16635.0,6.6869,1075.0,9.0,1095.0,9.0,1023.0,7.0,1133.0,10.0,2248.04,2197.4976,0.2386,Low
