SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
401011001,Adelaide,Adelaide City,Adelaide - Central and Hills,18202.0,10.4824,SA Water,,False,True,980.0,4.0,1045.0,7.0,814.0,1.0,1134.0,10.0,1365,70980,81098.0,472.63,787.03,1160.23,1343.83,1160.23,0.014307,0.009705,0.014307,0.01657,Low,Moderate,25.3,1.4517,2761.7199,0.9205,Critical
401011002,North Adelaide,Adelaide City,Adelaide - Central and Hills,6823.0,5.0909,SA Water,,False,True,1058.0,8.0,1088.0,9.0,960.0,3.0,1145.0,10.0,1867,97084,110923.0,472.63,787.03,1160.23,1343.83,1160.23,0.01046,0.007095,0.01046,0.012115,Low,Low,2.4,0.4545,2341.7083,0.6307,High
401021003,Adelaide Hills,Adelaide Hills,Adelaide - Central and Hills,7051.0,364.439,SA Water,,False,True,1062.0,8.0,1029.0,7.0,1077.0,9.0,1009.0,6.0,1905,99060,113180.0,472.63,787.03,1160.23,1343.83,1160.23,0.010251,0.006954,0.010251,0.011873,Low,Low,2.4,0.4414,2087.3166,0.0511,Low
401021004,Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,18208.0,117.2141,SA Water,,False,True,1100.0,10.0,1098.0,9.0,1101.0,10.0,1116.0,9.0,2297,119444,136470.0,472.63,787.03,1160.23,1343.83,1160.23,0.008502,0.005767,0.008502,0.009847,Low,Low,6.3,0.3316,2041.8165,0.0114,Low
401021005,Hahndorf - Echunga,Adelaide Hills,Adelaide - Central and Hills,4726.0,110.1516,SA Water,,False,True,1066.0,9.0,1047.0,8.0,1069.0,9.0,1042.0,7.0,1926,100152,114428.0,472.63,787.03,1160.23,1343.83,1160.23,0.010139,0.006878,0.010139,0.011744,Low,Low,1.6,0.4343,2102.9373,0.0568,Low
401021006,Lobethal - Woodside,Adelaide Hills,Adelaide - Central and Hills,9448.0,202.4981,SA Water,,False,True,1054.0,8.0,1019.0,6.0,1051.0,8.0,1012.0,6.0,1691,87932,100466.0,472.63,787.03,1160.23,1343.83,1160.23,0.011548,0.007834,0.011548,0.013376,Low,Moderate,13.1,1.0076,2138.9534,0.1307,Low
401021007,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,22113.0,54.1038,SA Water,,False,True,1028.0,6.0,997.0,6.0,1022.0,7.0,999.0,6.0,1698,88296,100882.0,472.63,787.03,1160.23,1343.83,1160.23,0.011501,0.007801,0.011501,0.013321,Low,Moderate,30.7,1.0,2199.6477,0.2443,Low
401021008,Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,6825.0,395.6659,SA Water,,False,True,1047.0,7.0,1006.0,6.0,1068.0,9.0,989.0,6.0,1784,92768,105991.0,472.63,787.03,1160.23,1343.83,1160.23,0.010946,0.007425,0.010946,0.012679,Low,Low,2.4,0.485,2104.9064,0.0653,Low
401021009,Nairne,Adelaide Hills,Adelaide - Central and Hills,5327.0,24.8562,SA Water,,False,True,1034.0,7.0,991.0,5.0,1035.0,7.0,990.0,6.0,1776,92352,105516.0,472.63,787.03,1160.23,1343.83,1160.23,0.010996,0.007459,0.010996,0.012736,Low,Low,1.8,0.4881,2172.0193,0.1818,Low
401021010,Uraidla - Summertown,Adelaide Hills,Adelaide - Central and Hills,6042.0,119.1882,SA Water,,False,True,1087.0,10.0,1081.0,9.0,1083.0,9.0,1090.0,9.0,2181,113412,129578.0,472.63,787.03,1160.23,1343.83,1160.23,0.008954,0.006074,0.008954,0.010371,Low,Low,2.1,0.3599,2075.7525,0.0398,Low
