SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,top_critical_driver,top_critical_driver_shap,shap_irsd_score,shap_irsad_score,shap_ier_score,shap_ieo_score,shap_population,shap_AREASQKM21,irsd_score,irsad_score,ier_score,ieo_score,population,AREASQKM21
401011001,Adelaide,Moderate,Low,IRSAD (Adv/Disadv),-0.08811160215188749,-0.009793977618665368,-0.08811160215188749,0.016802597999488352,-0.07839218972122484,-0.0824866727990419,-0.00398256486158778,980.0,1045.0,814.0,1134.0,18202.0,10.4824
401011002,North Adelaide,Low,Low,IRSAD (Adv/Disadv),-0.07368646913647918,-0.06572092481758042,-0.07368646913647918,0.009058632000059592,-0.06991038555402339,0.004090118627877565,-0.03979538027277313,1058.0,1088.0,960.0,1145.0,6823.0,5.0909
401021003,Adelaide Hills,Low,Low,IRSAD (Adv/Disadv),-0.06874446997814997,-0.06036098933028603,-0.06874446997814997,-0.06826111390692485,-0.05078600944554919,0.003079535452568388,-0.00422469527791046,1062.0,1029.0,1077.0,1009.0,7051.0,364.439
401021004,Aldgate - Stirling,Low,Low,IRSAD (Adv/Disadv),-0.06097900594792101,-0.051299990480722174,-0.06097900594792101,-0.056958068867463324,-0.04508067103770691,-0.03898877106856338,0.004008764916124506,1100.0,1098.0,1101.0,1116.0,18208.0,117.2141
401021005,Hahndorf - Echunga,Low,Low,IRSAD (Adv/Disadv),-0.07487646033101301,-0.06501045758162281,-0.07487646033101301,-0.07253164708927828,-0.05765726103312565,0.01610629858586391,0.00467178496292353,1066.0,1047.0,1069.0,1042.0,4726.0,110.1516
401021006,Lobethal - Woodside,Moderate,Low,IER (Econ Resources),-0.06938667578471087,-0.06275638396360993,-0.06826772805607353,-0.06938667578471087,-0.05225322142264926,0.0012392429941375778,0.002127023746653914,1054.0,1019.0,1051.0,1012.0,9448.0,202.4981
401021007,Mount Barker,Moderate,Low,IRSAD (Adv/Disadv),-0.06310842079266206,-0.015764150722885853,-0.06310842079266206,-0.060810559724796535,-0.055327611808199964,-0.050399513268607865,-0.0038874861691000416,1028.0,997.0,1022.0,999.0,22113.0,54.1038
401021008,Mount Barker Surrounds,Low,Low,IER (Econ Resources),-0.07284540411702059,-0.048511473285398274,-0.07077773182599467,-0.07284540411702059,-0.05405261483696986,0.0028053337824746295,-0.005915852203343477,1047.0,1006.0,1068.0,989.0,6825.0,395.6659
401021009,Nairne,Low,Low,IER (Econ Resources),-0.07783351423969989,-0.040973085977106756,-0.07248542308498189,-0.07783351423969989,-0.06960094596543247,0.008634525723417037,0.002960701057551846,1034.0,991.0,1035.0,990.0,5327.0,24.8562
401021010,Uraidla - Summertown,Low,Low,IER (Econ Resources),-0.06737072898381669,-0.05896865834719103,-0.06721330571193174,-0.06737072898381669,-0.053101480822960755,-0.006738811218712442,0.004095242598360535,1087.0,1081.0,1083.0,1090.0,6042.0,119.1882
401031011,Burnside - Wattle Park,Low,Low,IRSAD (Adv/Disadv),-0.059054292870006166,-0.04860210167622499,-0.059054292870006166,-0.05252090687681723,-0.04406481542919923,-0.043926064750510356,-0.0011295608834942308,1082.0,1099.0,1055.0,1124.0,19066.0,11.305
401031012,Beaumont - Glen Osmond,Low,Low,IRSAD (Adv/Disadv),-0.07210792747757234,-0.0586338389762097,-0.07210792747757234,-0.06696574796799822,-0.053085418779510195,-0.003602030597884671,0.005097221312922898,1095.0,1118.0,1085.0,1139.0,10328.0,9.5264
401031013,Toorak Gardens,Low,Low,IRSAD (Adv/Disadv),-0.05532950099052973,-0.04642286811664992,-0.05532950099052973,-0.04709420700102715,-0.042834014414004515,-0.03227985718263892,-0.025337294781402193,1075.0,1095.0,1023.0,1133.0,16635.0,6.6869
401041014,Athelstone,Low,Low,IRSAD (Adv/Disadv),-0.06300759374681653,-0.05346903947549532,-0.06300759374681653,-0.05972309494207,-0.04810233464990315,0.0010093423697380352,-0.026005022041705357,1064.0,1037.0,1054.0,1029.0,9601.0,6.204
401041015,Paradise - Newton,Moderate,Low,IEO (Education/Occ),-0.09157506508727076,-0.0021663895651438713,-0.06830949496119679,0.012388577704184741,-0.09157506508727076,-0.08815019520351919,0.005181491293360267,998.0,986.0,963.0,1005.0,21601.0,9.2256
401041016,Rostrevor - Magill,Moderate,Low,IRSAD (Adv/Disadv),-0.07438918213657413,-0.014590132455995249,-0.07438918213657413,-0.02374510888258882,-0.06935823392478095,-0.06421757475814834,0.0003358230051686639,1027.0,1027.0,990.0,1054.0,23968.0,9.9383
401051017,Norwood (SA),Moderate,Low,IRSAD (Adv/Disadv),-0.0804836867004772,-0.03275410203615676,-0.0804836867004772,0.003937843831249267,-0.0803823257408683,-0.014185836727015656,-0.045429635112983625,1038.0,1060.0,946.0,1114.0,10849.0,3.8926
401051018,Payneham - Felixstow,Moderate,Low,IEO (Education/Occ),-0.08631387980492612,-0.009778716331245467,-0.08505560588766094,0.010719008782954478,-0.08631387980492612,-0.029637565696000786,-0.04923098354937353,1019.0,1020.0,965.0,1049.0,13122.0,5.2284
401051019,St Peters - Marden,Low,Low,IRSAD (Adv/Disadv),-0.060113398244350476,-0.051792744389989806,-0.060113398244350476,-0.047127691293524336,-0.04608755342670243,-0.01622594974552434,-0.02795040538616101,1058.0,1077.0,1005.0,1111.0,13515.0,5.9826
401061020,Nailsworth - Broadview,Low,Low,IRSAD (Adv/Disadv),-0.060507999900931767,-0.05554182242908956,-0.060507999900931767,-0.05160040531413627,-0.04962637221798459,-0.004493231899774279,-0.02752791072433599,1053.0,1053.0,1001.0,1081.0,6484.0,2.3161
401061021,Prospect,Low,Low,IRSAD (Adv/Disadv),-0.05923247149057392,-0.050598182341936,-0.05923247149057392,-0.04193279592701929,-0.04559621771070813,-0.02281213434405618,-0.02912594067195896,1055.0,1060.0,1000.0,1086.0,15785.0,5.4754
401061022,Walkerville,Low,Low,IRSAD (Adv/Disadv),-0.06130580899622542,-0.05249248757456932,-0.06130580899622542,-0.05911132689120183,-0.048903003533617526,0.0003319907729446877,-0.027817106263582917,1075.0,1097.0,1035.0,1123.0,8023.0,3.53
401071023,Goodwood - Millswood,Low,Low,IRSAD (Adv/Disadv),-0.05460625839690658,-0.04642965894135747,-0.05460625839690658,-0.04529815584269584,-0.04346237551453506,-0.036676017810685704,-0.022825275980071835,1066.0,1078.0,1011.0,1112.0,17650.0,7.1977
401071024,Unley - Parkside,Low,Low,IRSAD (Adv/Disadv),-0.0537544257681847,-0.04545404493174493,-0.0537544257681847,-0.0455588196586003,-0.04219777757053964,-0.0395765405974731,-0.02275613395970972,1068.0,1089.0,1016.0,1124.0,20998.0,7.0726
402011025,Gawler - North,Low,Low,IER (Econ Resources),-0.09970731731876573,-0.033553826115121366,-0.08105684707253204,-0.09970731731876573,-0.03015638797187762,0.003890368327009036,-0.0020470656682979368,1024.0,979.0,1045.0,949.0,9545.0,145.5294
402011026,Gawler - South,Moderate,Low,Population,-0.08613136884924169,0.008042385589063785,-0.04609859186006417,0.002459499364462781,-0.0333370151501303,-0.08613136884924169,0.00910068175299057,962.0,934.0,971.0,930.0,21662.0,76.7139
402011027,Lewiston - Two Wells,Low,Low,IER (Econ Resources),-0.12586155719902384,-0.009028371955153243,-0.03304303194728892,-0.12586155719902384,-0.009290877803363929,-0.01204165884673479,0.0033010885986456714,1009.0,958.0,1068.0,900.0,6505.0,84.6217
402021028,Craigmore - Blakeview,Moderate,Low,Population,-0.12368030629192703,0.015198326553968288,0.02303565980832295,-0.05685398998553362,-0.011818640457344124,-0.12368030629192703,-0.045178792113738646,953.0,919.0,992.0,897.0,19920.0,11.8809
402021029,Davoren Park,Moderate,Low,Population,-0.20271489826742237,0.022793158592498544,-0.0137954163549036,0.03151887547679567,0.017214601873560522,-0.20271489826742237,-0.0376473971401143,792.0,799.0,862.0,811.0,18313.0,9.4649
402021030,Elizabeth,Critical,Moderate,IRSD (Disadvantage),0.09889924019668647,0.09889924019668647,0.08813068351734221,0.09734526862186127,0.0917542740123647,0.009558904366106381,0.011680553466053624,646.0,717.0,758.0,773.0,10829.0,9.2607
402021031,Elizabeth East,Moderate,Low,Area (km²),-0.1389015795834575,0.027090297796856636,-0.004828413612839962,-0.005360920683849935,0.030334293086563494,-0.08429808615619153,-0.1389015795834575,834.0,838.0,894.0,845.0,14047.0,8.1823
402021032,Munno Para West - Angle Vale,Moderate,Low,Population,-0.07226759297580808,-0.008390511656880149,-0.048540587986533115,-0.06822901662045477,-0.016562952617094083,-0.07226759297580808,-0.018640413962815364,963.0,930.0,995.0,907.0,16215.0,44.3107
402021033,One Tree Hill,Low,Low,IRSAD (Adv/Disadv),-0.07367654429872313,-0.06354968414106801,-0.07367654429872313,-0.07291060069359269,-0.05458745717674194,0.00541982710847207,0.010006716715401437,1082.0,1042.0,1113.0,1001.0,2473.0,130.1511
402021034,Smithfield - Elizabeth North,High,Moderate,Area (km²),-0.12345712272592901,0.05398397640464718,0.06546491751114915,0.07074913874883082,0.06971206438355688,-0.05241738347517438,-0.12345712272592901,732.0,756.0,804.0,780.0,12446.0,7.987
402021035,Virginia - Waterloo Corner,Moderate,Low,IER (Econ Resources),-0.13781357883493725,0.020052613298091927,-0.06843876056287956,-0.13781357883493725,-0.01232416619942571,-0.021956106858056587,0.0011822566709548989,958.0,939.0,1015.0,917.0,5693.0,135.5661
