SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
401011001,31,1733,726,400,2056,1.0,1365,1.8
401011002,39,1914,964,390,2653,0.8,1867,1.9
401021003,47,1733,792,300,2163,0.8,1905,2.7
401021004,44,2000,993,410,2708,0.8,2297,2.7
401021005,48,1900,804,345,2333,0.8,1926,2.6
401021006,44,1600,795,320,2065,0.8,1691,2.5
401021007,37,1647,825,350,2090,0.7,1698,2.5
401021008,43,1522,820,305,2098,0.8,1784,2.6
401021009,36,1500,859,350,2077,0.8,1776,2.6
401021010,43,2102,903,400,2490,0.8,2181,2.7
401031011,44,2245,957,360,2657,0.8,2086,2.5
401031012,43,2600,984,420,2769,0.8,2326,2.7
401031013,44,2167,977,339,2668,0.8,1929,2.3
401041014,43,1733,829,360,2267,0.8,1941,2.7
401041015,40,1690,721,335,1892,0.8,1427,2.4
401041016,40,1869,772,350,2134,0.8,1644,2.5
401051017,40,2000,933,360,2388,0.8,1653,2.0
401051018,41,1870,770,330,2095,0.8,1476,2.3
401051019,41,2080,954,320,2627,0.8,1879,2.3
401061020,38,1820,967,320,2490,0.9,1967,2.5
401061021,37,1950,962,350,2488,0.9,2019,2.5
401061022,45,2167,1001,380,2762,0.8,2052,2.3
401071023,42,2031,999,340,2686,0.8,2001,2.3
401071024,44,2167,968,370,2707,0.8,1998,2.3
402011025,40,1517,800,310,2095,0.8,1770,2.7
402011026,42,1400,697,285,1746,0.7,1336,2.4
402011027,38,1700,791,300,2053,0.8,1908,2.9
402021028,34,1337,756,310,1812,0.8,1600,2.8
402021029,30,1158,599,270,1355,0.8,1161,2.7
402021030,36,1083,460,225,1055,0.8,827,2.4
402021031,36,1233,579,251,1430,0.8,1188,2.6
402021032,29,1484,827,310,1829,0.8,1653,2.8
402021033,47,1995,843,300,2376,0.8,2277,2.9
402021034,35,975,492,245,1161,0.8,939,2.4
402021035,38,1600,709,300,1753,0.8,1387,2.5
402031036,34,1600,674,300,1767,0.9,1428,2.6
402031038,35,1668,778,310,2011,0.8,1595,2.5
402031175,35,1650,824,360,2098,0.8,1759,2.5
402031176,38,1517,690,320,1734,0.8,1469,2.6
402041039,0,0,0,0,0,0.0,0,0.0
402041040,40,1408,651,310,1646,0.8,1344,2.5
402041041,38,1322,697,310,1695,0.8,1444,2.6
402041042,22,0,274,0,0,0.0,0,0.0
402041043,36,1382,585,300,1512,0.9,1384,2.9
402041044,35,1300,675,300,1644,0.9,1458,2.8
402041046,37,1246,530,270,1315,0.9,1071,2.5
402041047,40,1300,655,295,1636,0.8,1339,2.6
402041048,34,1275,616,280,1429,0.8,1255,2.7
402041171,33,1625,896,360,2189,0.8,1913,2.6
402041172,38,1335,598,300,1508,0.8,1263,2.5
402051049,44,1688,795,320,2192,0.7,1674,2.5
402051050,40,1584,868,320,2289,0.7,1937,2.7
402051051,42,1733,836,375,2231,0.8,1920,2.7
402051052,41,1500,678,315,1684,0.8,1314,2.3
402051053,41,1500,787,330,2004,0.8,1657,2.6
402051054,40,1517,834,350,2108,0.8,1818,2.6
402051055,43,1517,749,330,1936,0.7,1492,2.4
403011056,48,1952,836,350,2317,0.8,1673,2.3
403011057,48,1950,925,330,2368,0.8,1562,2.1
403021058,36,1643,783,310,2006,0.8,1452,2.3
403021059,43,1700,840,380,2123,0.7,1876,2.6
403021060,43,1820,844,375,2206,0.8,1821,2.6
403021061,37,1603,668,310,1754,0.8,1307,2.3
403021062,39,1733,787,320,2173,0.8,1554,2.3
403021063,38,1517,861,365,2149,0.8,1922,2.8
403021064,39,1730,746,345,1904,0.8,1421,2.2
403031065,47,2100,978,369,2787,0.8,2273,2.6
403031066,40,1733,698,330,2151,0.8,1764,2.6
403031067,43,1950,954,370,2555,0.8,2114,2.7
403031068,40,2000,910,320,2632,0.8,2006,2.6
403031069,44,2167,986,346,2854,0.8,2203,2.6
403031070,41,1749,759,310,2053,0.8,1518,2.4
403041071,43,1526,793,340,2086,0.8,1807,2.6
403041072,40,1400,674,320,1607,0.8,1317,2.5
403041073,40,1250,554,250,1333,0.7,995,2.2
403041074,42,1394,656,320,1539,0.7,1220,2.2
403041075,48,2000,831,290,2304,0.8,2020,2.7
403041076,41,1818,978,420,2481,0.8,2233,2.8
403041077,42,1733,837,375,2280,0.8,2045,2.7
403041078,41,1400,668,300,1646,0.7,1355,2.5
403041079,38,1192,558,262,1365,0.7,1080,2.4
403041080,42,1517,778,355,1957,0.7,1568,2.5
403041081,67,0,774,0,1375,0.5,1375,2.0
403041082,48,2167,550,190,1875,1.1,725,1.6
403041083,45,1733,776,350,2030,0.8,1638,2.5
403041084,42,1300,661,300,1556,0.7,1228,2.3
403041085,39,1274,612,295,1409,0.7,1163,2.3
403041086,40,1365,704,325,1724,0.7,1334,2.4
403041088,48,1733,769,320,2025,0.8,1755,2.6
403041089,42,1517,773,350,2019,0.8,1672,2.6
403041177,37,1517,755,350,1777,0.7,1466,2.5
403041178,40,1517,738,320,1914,0.8,1521,2.6
404011090,36,1733,847,330,2162,0.8,1695,2.4
404011091,39,1746,759,340,2017,0.8,1563,2.4
404011092,44,2000,886,350,2367,0.8,1786,2.4
404011093,37,1733,818,340,2150,0.8,1631,2.3
404011094,38,1600,738,314,1902,0.8,1427,2.3
404011095,43,1733,747,320,1958,0.8,1425,2.3
404011096,51,1867,771,320,2062,0.7,1506,2.2
404011097,37,1600,726,310,1925,0.8,1491,2.5
404021098,0,0,0,0,0,0.0,0,0.0
404021099,45,1625,858,320,2212,0.8,1584,2.2
404021100,44,1564,720,300,1851,0.8,1414,2.3
404021101,41,1495,671,275,1738,0.8,1247,2.2
404021102,36,1517,566,270,1570,0.9,1297,2.6
404021103,64,0,450,0,900,1.1,749,1.3
404031104,51,0,3250,0,0,0.0,0,0.0
404031105,44,2000,812,315,2438,0.8,1753,2.5
404031106,40,1800,827,300,2185,0.8,1635,2.4
404031107,36,1733,794,300,2041,0.9,1551,2.3
404031108,37,1733,774,325,2092,0.8,1555,2.3
404031109,45,2000,896,320,2360,0.8,1746,2.4
405011110,46,1500,737,255,1865,0.8,1441,2.5
405011111,40,1328,729,260,1870,0.8,1544,2.6
405011112,43,1517,814,300,2084,0.8,1827,2.7
405011113,43,1150,682,265,1660,0.8,1369,2.5
405011114,45,1348,701,295,1737,0.7,1326,2.3
405011115,48,1452,773,300,1958,0.7,1446,2.3
405021116,45,1300,751,250,1739,0.7,1368,2.2
405021117,51,1100,659,225,1576,0.7,1257,2.3
405021118,51,867,497,190,1285,0.7,917,2.2
405021119,48,965,599,220,1429,0.7,1092,2.3
405031120,49,802,640,192,1505,0.7,1145,2.2
405031121,55,758,534,165,1313,0.7,931,2.1
405031122,43,951,570,185,1448,0.7,1044,2.2
405031123,47,997,572,200,1519,0.7,1145,2.4
405041124,45,1127,599,250,1488,0.7,1155,2.3
405041125,59,1200,536,250,1256,0.7,965,2.1
405041126,56,1213,521,250,1166,0.7,916,2.1
405041127,57,1000,555,200,1343,0.7,1003,2.1
405041128,58,986,526,200,1265,0.7,891,2.0
406011129,39,1251,788,220,1858,0.8,1406,2.4
406011130,49,1192,715,220,1655,0.8,1308,2.3
406011131,48,936,687,160,1456,0.7,1176,2.3
406011132,44,867,734,150,1756,0.7,1235,2.3
406011133,41,1300,736,240,1750,0.7,1301,2.3
406011134,45,1083,637,104,1435,0.8,1148,2.4
406011135,38,0,537,50,725,1.3,1312,2.3
406011136,41,1083,641,180,1679,0.7,1188,2.2
406011137,0,0,0,0,0,0.0,0,0.0
406021138,28,0,324,85,739,1.4,1266,4.0
406021139,50,630,498,163,1380,0.8,764,1.8
406021140,54,964,643,175,1478,0.7,1047,2.0
406021141,43,659,885,95,1588,0.8,1214,2.0
406021142,38,1138,697,200,1651,0.7,1277,2.3
406021143,31,1517,1787,260,3467,0.8,3140,2.7
407011144,61,1196,551,280,1227,0.7,970,2.0
407011145,50,1023,672,208,1501,0.8,1128,2.2
407011146,47,1500,648,300,1571,0.7,1277,2.4
407011147,47,1517,698,268,1787,0.8,1479,2.5
407011148,60,1300,545,290,1247,0.7,977,2.1
407011149,56,1300,572,270,1372,0.7,1082,2.2
407021150,45,1300,789,200,1928,0.8,1582,2.5
407021151,53,1180,701,220,1580,0.7,1200,2.1
407021152,49,910,558,175,1415,0.7,988,2.2
407021154,40,1083,758,230,1732,0.8,1377,2.4
407021155,44,900,874,150,1938,0.8,1632,2.5
407021156,47,896,737,181,1667,0.7,1314,2.3
407021157,41,867,817,200,1829,0.7,1470,2.4
407021158,49,1006,690,177,1708,0.7,1351,2.4
407021173,41,1200,736,220,1782,0.7,1348,2.4
407021174,41,1109,690,220,1688,0.7,1210,2.2
407031159,48,1083,651,200,1560,0.7,1245,2.3
407031160,42,1040,610,215,1367,0.7,1039,2.1
407031161,46,661,642,160,1496,0.7,1189,2.2
407031162,46,1083,678,221,1638,0.7,1208,2.3
407031163,49,1083,691,188,1497,0.8,1300,2.4
407031164,55,1083,505,215,1223,0.7,901,2.1
407031165,42,1100,596,240,1374,0.7,1077,2.3
407031166,47,1250,642,200,1522,0.8,1294,2.5
407031167,44,975,602,200,1345,0.7,1017,2.2
407031168,44,1178,749,200,1786,0.8,1459,2.5
407031169,48,879,604,190,1372,0.7,1085,2.2
407031170,50,953,593,200,1363,0.7,1027,2.2
497979799,48,0,1812,0,0,0.0,0,0.0
499999499,0,0,0,0,0,0.0,0,0.0
