price_increase_pct,scenario_label,SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_tier_abs,tier_shift,sim_burden_pct,tier_shifted,sim_tier_order
0.0,Baseline,401011001,Adelaide,Adelaide City,Adelaide - Central and Hills,SA Water,True,Low,Moderate,81098.0,1160.23,0.014307,Low,0.0,1.4307,0,4
0.0,Baseline,401011002,North Adelaide,Adelaide City,Adelaide - Central and Hills,SA Water,True,Low,Low,110923.0,1160.23,0.01046,Low,0.0,1.046,0,4
0.0,Baseline,401021003,Adelaide Hills,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,113180.0,1160.23,0.010251,Low,0.0,1.0251,0,4
0.0,Baseline,401021004,Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,136470.0,1160.23,0.008502,Low,0.0,0.8502,0,4
0.0,Baseline,401021005,Hahndorf - Echunga,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,114428.0,1160.23,0.010139,Low,0.0,1.0139,0,4
0.0,Baseline,401021006,Lobethal - Woodside,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Moderate,100466.0,1160.23,0.011548,Low,0.0,1.1548,0,4
0.0,Baseline,401021007,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Moderate,100882.0,1160.23,0.011501,Low,0.0,1.1501,0,4
0.0,Baseline,401021008,Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,105991.0,1160.23,0.010946,Low,0.0,1.0946,0,4
0.0,Baseline,401021009,Nairne,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,105516.0,1160.23,0.010996,Low,0.0,1.0996,0,4
0.0,Baseline,401021010,Uraidla - Summertown,Adelaide Hills,Adelaide - Central and Hills,SA Water,True,Low,Low,129578.0,1160.23,0.008954,Low,0.0,0.8954,0,4
0.0,Baseline,401031011,Burnside - Wattle Park,Burnside,Adelaide - Central and Hills,SA Water,True,Low,Low,123934.0,1160.23,0.009362,Low,0.0,0.9362,0,4
0.0,Baseline,401031012,Beaumont - Glen Osmond,Burnside,Adelaide - Central and Hills,SA Water,True,Low,Low,138193.0,1160.23,0.008396,Low,0.0,0.8396,0,4
0.0,Baseline,401031013,Toorak Gardens,Burnside,Adelaide - Central and Hills,SA Water,True,Low,Low,114606.0,1160.23,0.010124,Low,0.0,1.0124,0,4
0.0,Baseline,401041014,Athelstone,Campbelltown (SA),Adelaide - Central and Hills,SA Water,True,Low,Low,115319.0,1160.23,0.010061,Low,0.0,1.0061,0,4
0.0,Baseline,401041015,Paradise - Newton,Campbelltown (SA),Adelaide - Central and Hills,SA Water,True,Low,Moderate,84781.0,1160.23,0.013685,Low,0.0,1.3685,0,4
0.0,Baseline,401041016,Rostrevor - Magill,Campbelltown (SA),Adelaide - Central and Hills,SA Water,True,Low,Moderate,97674.0,1160.23,0.011879,Low,0.0,1.1879,0,4
0.0,Baseline,401051017,Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,SA Water,True,Low,Moderate,98208.0,1160.23,0.011814,Low,0.0,1.1814,0,4
0.0,Baseline,401051018,Payneham - Felixstow,Norwood - Payneham - St Peters,Adelaide - Central and Hills,SA Water,True,Low,Moderate,87692.0,1160.23,0.013231,Low,0.0,1.3231,0,4
0.0,Baseline,401051019,St Peters - Marden,Norwood - Payneham - St Peters,Adelaide - Central and Hills,SA Water,True,Low,Low,111636.0,1160.23,0.010393,Low,0.0,1.0393,0,4
0.0,Baseline,401061020,Nailsworth - Broadview,Prospect - Walkerville,Adelaide - Central and Hills,SA Water,True,Low,Low,116864.0,1160.23,0.009928,Low,0.0,0.9928,0,4
0.0,Baseline,401061021,Prospect,Prospect - Walkerville,Adelaide - Central and Hills,SA Water,True,Low,Low,119953.0,1160.23,0.009672,Low,0.0,0.9672,0,4
0.0,Baseline,401061022,Walkerville,Prospect - Walkerville,Adelaide - Central and Hills,SA Water,True,Low,Low,121914.0,1160.23,0.009517,Low,0.0,0.9517,0,4
0.0,Baseline,401071023,Goodwood - Millswood,Unley,Adelaide - Central and Hills,SA Water,True,Low,Low,118884.0,1160.23,0.009759,Low,0.0,0.9759,0,4
0.0,Baseline,401071024,Unley - Parkside,Unley,Adelaide - Central and Hills,SA Water,True,Low,Low,118706.0,1160.23,0.009774,Low,0.0,0.9774,0,4
0.0,Baseline,402011025,Gawler - North,Gawler - Two Wells,Adelaide - North,SA Water,True,Low,Low,105160.0,1160.23,0.011033,Low,0.0,1.1033,0,4
0.0,Baseline,402011026,Gawler - South,Gawler - Two Wells,Adelaide - North,SA Water,True,Low,Moderate,79375.0,1160.23,0.014617,Low,0.0,1.4617,0,4
0.0,Baseline,402011027,Lewiston - Two Wells,Gawler - Two Wells,Adelaide - North,SA Water,True,Low,Low,113358.0,1160.23,0.010235,Low,0.0,1.0235,0,4
0.0,Baseline,402021028,Craigmore - Blakeview,Playford,Adelaide - North,SA Water,True,Low,Moderate,95060.0,1160.23,0.012205,Low,0.0,1.2205,0,4
0.0,Baseline,402021029,Davoren Park,Playford,Adelaide - North,SA Water,True,Low,Moderate,68978.0,1160.23,0.01682,Low,0.0,1.682,0,4
0.0,Baseline,402021030,Elizabeth,Playford,Adelaide - North,SA Water,True,Moderate,Critical,49134.0,1160.23,0.023614,Moderate,0.0,2.3614,0,3
0.0,Baseline,402021031,Elizabeth East,Playford,Adelaide - North,SA Water,True,Low,Moderate,70582.0,1160.23,0.016438,Low,0.0,1.6438,0,4
0.0,Baseline,402021032,Munno Para West - Angle Vale,Playford,Adelaide - North,SA Water,True,Low,Moderate,98208.0,1160.23,0.011814,Low,0.0,1.1814,0,4
0.0,Baseline,402021033,One Tree Hill,Playford,Adelaide - North,SA Water,True,Low,Low,135282.0,1160.23,0.008576,Low,0.0,0.8576,0,4
0.0,Baseline,402021034,Smithfield - Elizabeth North,Playford,Adelaide - North,SA Water,True,Moderate,High,55788.0,1160.23,0.020797,Moderate,0.0,2.0797,0,3
0.0,Baseline,402021035,Virginia - Waterloo Corner,Playford,Adelaide - North,SA Water,True,Low,Moderate,82405.0,1160.23,0.01408,Low,0.0,1.408,0,4
0.0,Baseline,402031036,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,84841.0,1160.23,0.013675,Low,0.0,1.3675,0,4
0.0,Baseline,402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,94762.0,1160.23,0.012244,Low,0.0,1.2244,0,4
0.0,Baseline,402031175,Northgate - Northfield,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Low,104506.0,1160.23,0.011102,Low,0.0,1.1102,0,4
0.0,Baseline,402031176,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,87277.0,1160.23,0.013294,Low,0.0,1.3294,0,4
0.0,Baseline,402041039,Dry Creek - North,Salisbury,Adelaide - North,SA Water,True,Unknown,Unknown,,1160.23,,Unknown,,,0,5
0.0,Baseline,402041040,Ingle Farm,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,79850.0,1160.23,0.01453,Low,0.0,1.453,0,4
