SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,is_metro,burden_tier_abs,next_tier,water_cost_burden_ratio,median_hhd_inc_annual_adj,bill_usage_only,bill_owner_blended,tipping_pct,current_burden_pct
405031123,Port Pirie Surrounds,Mid North,Barossa - Yorke - Mid North,False,Low,Moderate,0.019754,68027.0,472.63,1343.83,3.5355351966654736,1.98
405031120,Jamestown,Mid North,Barossa - Yorke - Mid North,False,Low,Moderate,0.019754,68027.0,472.63,1343.83,3.5355351966654736,1.98
406011134,West Coast (SA),Eyre Peninsula and South West,South Australia - Outback,False,Low,Moderate,0.019703,68205.0,472.63,1343.83,4.288767111694192,1.97
403041073,Christie Downs,Onkaparinga,Adelaide - South,True,Low,Moderate,0.019627,59115.0,472.63,1160.23,4.669614709180525,1.96
405041124,Kadina,Yorke Peninsula,Barossa - Yorke - Mid North,False,Low,Moderate,0.019583,68621.0,472.63,1343.83,6.049129340075776,1.96
406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,South Australia - Outback,False,Low,Moderate,0.019234,69869.0,472.63,1343.83,11.330216025220619,1.92
406011136,Whyalla,Eyre Peninsula and South West,South Australia - Outback,False,Low,Moderate,0.019039,70582.0,472.63,1343.83,14.347375325307365,1.9
407031161,Karoonda - Lameroo,Murray and Mallee,South Australia - South East,False,Low,Moderate,0.019023,70641.0,472.63,1343.83,14.597042083659527,1.9
407021151,Kingston - Robe,Limestone Coast,South Australia - South East,False,Low,Moderate,0.018849,71295.0,472.63,1343.83,17.364534625394114,1.88
407031162,Loxton,Murray and Mallee,South Australia - South East,False,Low,Moderate,0.018724,71770.0,472.63,1343.83,19.374563612127904,1.87
407021174,Mount Gambier - West,Limestone Coast,South Australia - South East,False,Low,Moderate,0.018693,71889.0,472.63,1343.83,19.87812876880437,1.87
406021141,Outback,Outback - North and East,South Australia - Outback,False,Low,Moderate,0.018632,72126.0,472.63,1343.83,20.88102744218523,1.86
402041046,Salisbury,Salisbury,Adelaide - North,True,Low,Moderate,0.018234,63630.0,472.63,1160.23,23.77546918308193,1.82
403041079,Hackham West - Huntfield Heights,Onkaparinga,Adelaide - South,True,Low,Moderate,0.018082,64165.0,472.63,1160.23,26.03939656813996,1.81
406011132,Le Hunte - Elliston,Eyre Peninsula and South West,South Australia - Outback,False,Low,Moderate,0.018315,73374.0,472.63,1343.83,26.16211412733007,1.83
403041082,Lonsdale,Onkaparinga,Adelaide - South,True,Moderate,High,0.026936,43074.0,472.63,1160.23,27.92670799568373,2.69
