"SA2_CODE21","SA2_NAME21","SA3_NAME21","SA4_NAME21","population","AREASQKM21","provider_type","provider_note","is_provider_confirmed","is_metro","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","median_hhd_inc_weekly_2021","median_hhd_inc_annual_2021","median_hhd_inc_annual_adj","bill_usage_only","bill_usage_supply","bill_owner_metro","bill_owner_country","bill_owner_blended","water_cost_burden_ratio","burden_ratio_renter","burden_ratio_owner_metro","burden_ratio_owner_country","burden_tier_abs","burden_tier_rel","estimated_hardship_need","hardship_priority_score","top_critical_driver","top_critical_driver_shap","water_cost_burden_pct","burden_ratio_owner_metro_pct","burden_ratio_owner_country_pct","burden_ratio_renter_pct","hardship_priority_pct","tier_order_rel","tier_order_abs","hardship_priority_flag"
"401011001","Adelaide","Adelaide City","Adelaide - Central and Hills","18202.0","10.4824","SA Water","","0","1","980.0","4.0","1045.0","7.0","814.0","1.0","1134.0","10.0","1365","70980","81098.0","472.63","787.03","1160.23","1343.83","1160.23","0.014307","0.009705","0.014307","0.01657","Low","Moderate","25.3","1.4517","IRSAD (Adv/Disadv)","-0.0881116021518874","1.43","1.43","1.66","0.97","145.17","3","4","0"
"401011002","North Adelaide","Adelaide City","Adelaide - Central and Hills","6823.0","5.0909","SA Water","","0","1","1058.0","8.0","1088.0","9.0","960.0","3.0","1145.0","10.0","1867","97084","110923.0","472.63","787.03","1160.23","1343.83","1160.23","0.01046","0.007095","0.01046","0.012115","Low","Low","2.4","0.4545","IRSAD (Adv/Disadv)","-0.0736864691364791","1.05","1.05","1.21","0.71","45.45","4","4","0"
"401021003","Adelaide Hills","Adelaide Hills","Adelaide - Central and Hills","7051.0","364.439","SA Water","","0","1","1062.0","8.0","1029.0","7.0","1077.0","9.0","1009.0","6.0","1905","99060","113180.0","472.63","787.03","1160.23","1343.83","1160.23","0.010251","0.006954","0.010251","0.011873","Low","Low","2.4","0.4414","IRSAD (Adv/Disadv)","-0.0687444699781499","1.03","1.03","1.19","0.7","44.14","4","4","0"
"401021004","Aldgate - Stirling","Adelaide Hills","Adelaide - Central and Hills","18208.0","117.2141","SA Water","","0","1","1100.0","10.0","1098.0","9.0","1101.0","10.0","1116.0","9.0","2297","119444","136470.0","472.63","787.03","1160.23","1343.83","1160.23","0.008502","0.005767","0.008502","0.009847","Low","Low","6.3","0.3316","IRSAD (Adv/Disadv)","-0.060979005947921","0.85","0.85","0.98","0.58","33.16","4","4","0"
"401021005","Hahndorf - Echunga","Adelaide Hills","Adelaide - Central and Hills","4726.0","110.1516","SA Water","","0","1","1066.0","9.0","1047.0","8.0","1069.0","9.0","1042.0","7.0","1926","100152","114428.0","472.63","787.03","1160.23","1343.83","1160.23","0.010139","0.006878","0.010139","0.011744","Low","Low","1.6","0.4343","IRSAD (Adv/Disadv)","-0.074876460331013","1.01","1.01","1.17","0.69","43.43","4","4","0"
"401021006","Lobethal - Woodside","Adelaide Hills","Adelaide - Central and Hills","9448.0","202.4981","SA Water","","0","1","1054.0","8.0","1019.0","6.0","1051.0","8.0","1012.0","6.0","1691","87932","100466.0","472.63","787.03","1160.23","1343.83","1160.23","0.011548","0.007834","0.011548","0.013376","Low","Moderate","13.1","1.0076","IER (Econ Resources)","-0.0693866757847108","1.15","1.15","1.34","0.78","100.76","3","4","0"
"401021007","Mount Barker","Adelaide Hills","Adelaide - Central and Hills","22113.0","54.1038","SA Water","","0","1","1028.0","6.0","997.0","6.0","1022.0","7.0","999.0","6.0","1698","88296","100882.0","472.63","787.03","1160.23","1343.83","1160.23","0.011501","0.007801","0.011501","0.013321","Low","Moderate","30.7","1.0","IRSAD (Adv/Disadv)","-0.063108420792662","1.15","1.15","1.33","0.78","100.0","3","4","0"
"401021008","Mount Barker Surrounds","Adelaide Hills","Adelaide - Central and Hills","6825.0","395.6659","SA Water","","0","1","1047.0","7.0","1006.0","6.0","1068.0","9.0","989.0","6.0","1784","92768","105991.0","472.63","787.03","1160.23","1343.83","1160.23","0.010946","0.007425","0.010946","0.012679","Low","Low","2.4","0.485","IER (Econ Resources)","-0.0728454041170205","1.09","1.09","1.27","0.74","48.5","4","4","0"
"401021009","Nairne","Adelaide Hills","Adelaide - Central and Hills","5327.0","24.8562","SA Water","","0","1","1034.0","7.0","991.0","5.0","1035.0","7.0","990.0","6.0","1776","92352","105516.0","472.63","787.03","1160.23","1343.83","1160.23","0.010996","0.007459","0.010996","0.012736","Low","Low","1.8","0.4881","IER (Econ Resources)","-0.0778335142396998","1.1","1.1","1.27","0.75","48.81","4","4","0"
"401021010","Uraidla - Summertown","Adelaide Hills","Adelaide - Central and Hills","6042.0","119.1882","SA Water","","0","1","1087.0","10.0","1081.0","9.0","1083.0","9.0","1090.0","9.0","2181","113412","129578.0","472.63","787.03","1160.23","1343.83","1160.23","0.008954","0.006074","0.008954","0.010371","Low","Low","2.1","0.3599","IER (Econ Resources)","-0.0673707289838166","0.9","0.9","1.04","0.61","35.99","4","4","0"
"401031011","Burnside - Wattle Park","Burnside","Adelaide - Central and Hills","19066.0","11.305","SA Water","","0","1","1082.0","9.0","1099.0","9.0","1055.0","8.0","1124.0","9.0","2086","108472","123934.0","472.63","787.03","1160.23","1343.83","1160.23","0.009362","0.00635","0.009362","0.010843","Low","Low","6.6","0.3855","IRSAD (Adv/Disadv)","-0.0590542928700061","0.94","0.94","1.08","0.64","38.55","4","4","0"
