SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,price_increase_pct,scenario_label,baseline_tier_abs,baseline_tier_rel,baseline_tier_order,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_burden_pct,sim_tier_abs,sim_tier_order,tier_shift,tier_shifted
401011001,Adelaide,Adelaide City,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,81098.0,1160.23,0.014307,1.4307,Low,4,0.0,0
401011002,North Adelaide,Adelaide City,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,110923.0,1160.23,0.01046,1.046,Low,4,0.0,0
401021003,Adelaide Hills,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,113180.0,1160.23,0.010251,1.0251,Low,4,0.0,0
401021004,Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,136470.0,1160.23,0.008502,0.8502,Low,4,0.0,0
401021005,Hahndorf - Echunga,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,114428.0,1160.23,0.010139,1.0139,Low,4,0.0,0
401021006,Lobethal - Woodside,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,100466.0,1160.23,0.011548,1.1548,Low,4,0.0,0
401021007,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,100882.0,1160.23,0.011501,1.1501,Low,4,0.0,0
401021008,Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,105991.0,1160.23,0.010946,1.0946,Low,4,0.0,0
401021009,Nairne,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,105516.0,1160.23,0.010996,1.0996,Low,4,0.0,0
401021010,Uraidla - Summertown,Adelaide Hills,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,129578.0,1160.23,0.008954,0.8954,Low,4,0.0,0
401031011,Burnside - Wattle Park,Burnside,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,123934.0,1160.23,0.009362,0.9362,Low,4,0.0,0
401031012,Beaumont - Glen Osmond,Burnside,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,138193.0,1160.23,0.008396,0.8396,Low,4,0.0,0
401031013,Toorak Gardens,Burnside,Adelaide - Central and Hills,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,114606.0,1160.23,0.010124,1.0124,Low,4,0.0,0
